,,,,,,,,Tỷ VNĐ,VNĐ,%,%,%,%,Nghìn CP,Tỷ VNĐ,%,VNĐ,%,x,x,x,x,x,Tỷ VNĐ,%,,,,,,%,Tỷ VNĐ,%,,,,,,%,Tỷ VNĐ,%,%,%,,,,%,
,17,MSB,MSB Bank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,  39.000 ,  12.500 ,"-0,4%","10,1%","2,9%","0,8%",  7.067 ,"  85,1 ","14,1%",  2.051 ,"8,9%","  6,3 ","  6,6 ","  6,1 ","  0,9 ","  0,9 ","  3.649,5 ",,"4,5%","-9,6%","16,0%","-9,5%","12,0%",,"  1.514,2 ","23,7%","6,0%","-28,5%","30,2%","14,5%","19,6%","13,7%","  1.514,2 ","23,7%","6,0%","-28,5%","30,2%","14,5%","19,6%","13,7%",Chính thức
,18,NAB,Ngân hàng Nam Á,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,  24.191 ,  14.100 ,"4,4%","6,8%","0,0%","-1,4%",  1.595 ,"  21,4 ","19,6%",  2.891 ,"18,6%","  6,4 ","  5,4 ","  4,9 ","  1,1 ","  1,0 ",  -   ,,"15,7%","17,1%","15,4%","56,8%",,,"  1.296,0 ","26,1%","22,3%","6,5%","18,5%","17,9%","32,8%","18,6%","  1.296,0 ","26,1%","22,3%","6,5%","18,5%","17,9%","32,8%","18,6%",DN ước tính
,19,ABB,Ngân hàng An Bình,UPCoM,Ngân hàng,Ngân hàng,Ngân hàng,  20.892 ,  14.953 ,"2,8%","5,5%","9,2%","3,1%",  1.040 ,"  14,6 ","18,2%",  2.577 ,"0,2%","  43,2 ","  6,0 ","  5,8 ","  0,7 ","  1,2 ",  -   ,,"48,8%","55,3%","114,2%","116,0%",,,"  1.200,0 ","33,3%","116,3%","208,4%","279,4%","137,7%","260,9%","28,2%","  1.200,0 ","33,3%","116,3%","208,4%","279,4%","137,7%","260,9%","28,2%",DN ước tính
,20,PGB,PG Bank,UPCoM,Ngân hàng,Ngân hàng,Ngân hàng,  7.936 ,  11.644 ,"-1,8%","-1,3%","-6,5%","-6,0%",  21 ,"  0,3 ","10,9%",  1.688 ,"30,3%","  22,6 ","  10,7 ","  6,9 ","  1,4 ","  1,0 ","  609,1 ",,"34,4%","24,2%","39,6%","52,4%","20,5%",,"  220,4 ","19,2%","-17,5%","77,8%","176,1%","237,7%","187,8%","98,1%","  220,4 ","19,2%","-17,5%","77,8%","176,1%","237,7%","187,8%","98,1%",Chính thức
,21,VBB,VietBank,UPCoM,Ngân hàng,Ngân hàng,Ngân hàng,  14.827 ,  13.768 ,"-0,9%","34,0%","30,0%","32,2%",  129 ,"  1,6 ","10,5%",  1.560 ,"21,9%","  8,8 ","  13,0 ","  8,8 ","  0,8 ","  1,2 ","  806,2 ",,"48,9%","-11,0%","-0,9%","-2,2%","5,4%",,"  131,4 ","7,8%","245,0%","-21,2%","-14,4%","110,1%","-33,7%","38,9%","  131,4 ","7,8%","245,0%","-21,2%","-14,4%","110,1%","-33,7%","38,9%",Chính thức
,22,NVB,Ngân hàng Quốc Dân,HNX,Ngân hàng,Ngân hàng,Ngân hàng,  20.209 ,  10.500 ,"-6,3%","-3,7%","-15,3%","-22,8%",  211 ,"  2,4 ","0,6%",  589 ,"1259,6%","  20.241,5 ","  309,2 ","  17,8 ","  1,6 ","  1,5 ","  972,9 ",,"91,2%","122,0%","128,8%","119,2%","62,6%",,"  216,0 ","19,1%","459,8%","549,7%","390,1%","87,1%","43,3%","1452207,7%","  216,0 ","19,1%","459,8%","549,7%","390,1%","87,1%","43,3%","1452207,7%",Chính thức
,23,BVB,Ngân hàng Bản Việt - BVBank,UPCoM,Ngân hàng,Ngân hàng,Ngân hàng,  7.883 ,  12.302 ,"-4,2%","4,6%","-10,4%","-7,2%",  1.498 ,"  19,1 ","7,1%",  874 ,"5,4%","  40,5 ","  15,0 ","  14,1 ","  1,1 ","  1,0 ","  898,1 ",,"4,5%","8,6%","59,7%","4,8%","61,4%",,"  172,4 ","30,8%","16,0%","-84,4%","1090,1%","-59,2%","168,9%","34,4%","  172,4 ","30,8%","16,0%","-84,4%","1090,1%","-59,2%","168,9%","34,4%",Chính thức
,24,SGB,Sài Gòn Công thương,UPCoM,Ngân hàng,Ngân hàng,Ngân hàng,  4.145 ,  11.489 ,"-6,8%","-4,6%","-8,6%","-7,0%",  12 ,"  0,2 ","2,7%",  687 ,"119,1%","  30,2 ","  36,6 ","  16,7 ","  1,1 ","  1,0 ","  289,8 ",,"52,2%","2,3%","-13,7%","0,2%","-14,9%",,"  73,5 ","29,6%","29,0%","-15,7%","75,9%","5,6%","-10,2%","104,1%","  73,5 ","29,6%","29,0%","-15,7%","75,9%","5,6%","-10,2%","104,1%",Chính thức
,25,VAB,Ngân hàng Việt Á,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,  8.368 ,  10.250 ,"-1,4%","1,5%","-9,7%","-1,4%",  481 ,"  5,0 ","14,4%",  1.906 ,"8,4%","  6,5 ","  5,8 ","  5,4 ","  0,7 ","  0,8 ","  775,8 ",,"3,5%","3,9%","38,4%","97,0%","16,5%",,"  408,5 ","26,3%","44,5%","12,6%","42,2%","110,6%","39,4%","17,9%","  408,5 ","26,3%","44,5%","12,6%","42,2%","110,6%","39,4%","17,9%",Chính thức
,26,KLB,KienlongBank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,  8.473 ,  14.650 ,"4,3%","11,4%","-3,3%","-12,1%",  328 ,"  4,7 ","24,7%",  3.596 ,"4,6%","  6,6 ","  4,3 ","  4,1 ","  0,9 ","  1,0 ","  1.082,6 ",,"47,2%","9,7%","21,0%","52,3%","-4,5%",,"  416,8 ","20,0%","66,8%","67,7%","194,9%","123,8%","46,4%","12,1%","  416,8 ","20,0%","66,8%","67,7%","194,9%","123,8%","46,4%","12,1%",Chính thức
,27,SSI,Chứng khoán SSI,HOSE,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  68.879 ,  27.650 ,"-3,7%","2,2%","-11,2%","-8,6%",  33.476 ,"  997,2 ","13,9%",  1.874 ,"-12,9%","  20,3 ","  15,2 ","  14,8 ","  2,1 ","  1,7 ","  3.178,1 ","20,3%","9,5%","29,7%","105,9%","62,1%","47,2%","21,1%","  1.277,6 ","27,4%","10,4%","14,0%","85,8%","87,0%","51,4%","13,7%","  1.277,9 ","27,4%","10,4%","14,3%","85,7%","175,3%","51,4%","13,7%",Chính thức
,28,VCK,Chứng Khoán VPS,HOSE,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  84.005 ,  34.500 ,"-4,4%","-1,0%","19,7%","10,2%",  5.099 ,"  192,5 ","19,1%",  1.889 ,"5,5%","  19,2 ","  20,6 ","  18,3 ","  2,8 ","  2,8 ","  2.519,2 ","21,9%","-6,5%","0,9%","64,7%","53,3%","71,6%","39,2%","  1.235,2 ","26,9%","45,5%","34,6%","71,7%","21,4%","68,1%","28,5%","  1.235,2 ","26,9%","45,5%","34,6%","71,7%","21,4%","68,1%","28,5%",Chính thức
,29,VPX,Chứng khoán VPBank,HOSE,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  51.375 ,  27.400 ,"-5,0%","-7,1%","0,0%","-8,1%",  1.526 ,"  46,2 ","14,0%",  2.753 ,"21,7%","  13,7 ","  13,8 ","  10,0 ","  1,7 ","  1,5 ","  2.871,0 ","25,9%","20,6%","82,6%","512,1%","266,6%","308,0%","40,0%","  435,5 ","8,4%","92,7%","73,3%","595,1%","214,8%","55,2%","44,6%","  435,5 ","8,4%","92,7%","73,3%","595,1%","214,8%","55,2%","44,6%",Chính thức
,30,VND,Chứng khoán VNDIRECT,HOSE,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  24.509 ,  16.100 ,"-4,2%","1,6%","-12,7%","-17,2%",  11.636 ,"  198,0 ","10,6%",  -   ,"0,0%","  18,6 ","  11,2 ",  -   ,"  1,4 ","  1,1 ","  1.807,0 ",,"-9,2%","19,4%","74,4%","17,7%","43,6%",,"  545,3 ",,"-38,0%","6,8%","83,9%","36,1%","42,6%",,"  545,3 ",,"-38,0%","6,8%","83,9%","36,1%","42,6%",,Chính thức
,31,VCI,Chứng khoán Vietcap,HOSE,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  30.068 ,  26.200 ,"-5,4%","-1,9%","-1,5%","2,4%",  11.526 ,"  390,2 ","9,2%",  1.603 ,"22,0%","  31,5 ","  21,7 ","  16,3 ","  2,3 ","  1,7 ","  1.406,5 ","21,6%","5,5%","26,6%","48,1%","52,8%","65,3%","31,0%","  340,7 ","18,5%","49,1%","-34,1%","95,2%","102,8%","15,6%","37,1%","  340,7 ","18,5%","49,1%","-34,1%","95,2%","102,8%","15,6%","37,1%",Chính thức
,32,HCM,Chứng khoán HSC,HOSE,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  28.889 ,  26.750 ,"-0,4%","20,2%","15,3%","21,4%",  13.048 ,"  315,7 ","10,0%",  1.705 ,"23,4%","  19,5 ","  23,2 ","  15,7 ","  1,9 ","  2,0 ","  1.466,4 ","22,3%","15,8%","-1,9%","46,3%","18,3%","46,7%","27,9%","  290,7 ","15,8%","-18,1%","-38,6%","98,1%","40,5%","28,2%","56,2%","  290,7 ","15,8%","-18,1%","-38,6%","98,1%","40,5%","28,2%","56,2%",Chính thức
,33,SHS,Chứng khoán SG - HN,HNX,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  15.201 ,  16.900 ,"-7,1%","-1,2%","-9,1%","-18,0%",  16.022 ,"  283,6 ","10,8%",  1.528 ,"4,4%","  16,8 ","  11,6 ","  11,1 ","  1,3 ","  1,2 ","  564,7 ","15,1%","-0,5%","26,1%","195,5%","189,8%","0,6%","1,9%","  231,8 ","16,9%","-26,3%","8,1%","592,6%","-6,9%","-11,8%","2,3%","  231,8 ","16,9%","-26,3%","8,1%","592,6%","-6,9%","-11,8%","2,3%",Chính thức
,34,VIX,Chứng khoán VIX,HOSE,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  40.920 ,  16.700 ,"-8,2%","-0,3%","-10,1%","-12,1%",  35.376 ,"  668,4 ","25,6%",  -   ,"0,0%","  23,8 ","  7,9 ",  -   ,"  1,4 ","  1,9 ","  1.653,4 ",,"171,7%","421,6%","481,8%","285,9%","68,8%",,"  138,4 ",,"129,9%","951,5%","823,0%","1046,8%","-62,8%",,"  138,4 ",,"129,9%","951,5%","823,0%","1046,8%","-62,8%",,Chính thức
,35,DSE,Chứng Khoán DNSE,HOSE,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  9.828 ,  22.950 ,"-4,0%","-4,6%","-5,6%","-1,9%",  334 ,"  7,9 ","5,1%",  1.027 ,"58,2%","  37,0 ","  42,6 ","  22,3 ","  2,0 ","  1,8 ","  395,1 ","22,8%","34,1%","46,4%","152,7%","85,9%","62,3%","19,1%","  11,3 ","2,6%","-24,3%","114,7%","208,3%","-72,0%","-78,7%","61,5%","  11,3 ","2,6%","-24,3%","114,7%","208,3%","-72,0%","-78,7%","61,5%",Chính thức
,36,FTS,Chứng khoán FPT,HOSE,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  9.026 ,  26.050 ,"-6,1%","1,8%","-20,1%","-20,9%",  993 ,"  29,0 ","9,2%",  1.270 ,"8,3%","  26,0 ","  22,4 ","  20,5 ","  2,9 ","  2,0 ","  378,4 ","31,5%","4,3%","-21,7%","26,6%","16,2%","21,3%","-0,5%","  159,9 ","36,3%","-8,2%","-62,2%","-31,7%","-19,7%","4,5%","10,9%","  159,9 ","36,3%","-8,2%","-62,2%","-31,7%","-19,7%","4,5%","10,9%",Chính thức
,37,BSI,Chứng khoán BIDV,HOSE,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  8.600 ,  35.050 ,"-5,1%","2,2%","-10,4%","-6,8%",  398 ,"  14,7 ","9,2%",  2.282 ,"11,7%","  27,1 ","  17,2 ","  15,4 ","  2,0 ","  1,5 ","  697,1 ",,"-4,1%","19,4%","115,6%","77,6%","106,8%",,"  88,8 ","15,9%","-40,9%","-11,2%","207,9%","4,3%","9,5%","13,4%","  88,8 ","15,9%","-40,9%","-11,2%","207,9%","4,3%","9,5%","13,4%",Chính thức
,38,MBS,Chứng khoán MB,HNX,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  19.418 ,  19.400 ,"-6,3%","1,1%","-8,5%","-7,0%",  5.110 ,"  126,2 ","15,0%",  1.479 ,"-17,5%","  18,1 ","  16,8 ","  13,1 ","  2,3 ","  2,3 ","  1.019,1 ","21,8%","-0,7%","-10,3%","44,3%","34,1%","52,4%","28,5%","  291,6 ","19,7%","47,4%","2,0%","85,9%","86,4%","8,4%","30,9%","  291,6 ","19,7%","47,4%","2,0%","85,9%","86,4%","8,4%","30,9%",Chính thức
,39,DSC,Chứng khoán DSC,HOSE,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  3.620 ,  13.000 ,"0,0%","1,6%","-13,0%","-10,3%",  37 ,"  0,5 ","9,9%",  1.023 ,"-7,5%","  27,4 ","  13,0 ","  12,7 ","  1,8 ","  1,2 ","  182,8 ","24,5%","-2,1%","12,7%","77,2%","61,2%","39,4%","7,5%","  57,7 ","20,3%","-8,7%","123,2%","86,3%","64,4%","7,3%","3,5%","  57,7 ","20,3%","-8,7%","123,2%","86,3%","64,4%","7,3%","3,5%",Chính thức
,40,CTS,Chứng khoán Vietinbank,HOSE,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  5.551 ,  26.100 ,"-6,1%","-2,8%","-16,4%","-21,3%",  789 ,"  22,7 ","19,4%",  1.708 ,"-32,4%","  31,7 ","  10,3 ","  15,3 ","  2,4 ","  1,9 ","  351,9 ",,"43,6%","111,3%","116,4%","200,4%","-24,3%",,"  65,8 ","18,1%","6,7%","741,4%","413,4%","-56,8%","-37,9%","-37,1%","  65,8 ","18,1%","6,7%","741,4%","413,4%","-56,8%","-37,9%","-37,1%",Chính thức
,41,ORS,Chứng khoán Tiên Phong,HOSE,Dịch vụ tài chính,Môi giới chứng khoán,Môi giới chứng khoán,  8.205 ,  13.150 ,"-3,3%","0,0%","-7,4%","0,0%",  2.731 ,"  37,4 ","2,8%",  549 ,"40,4%","  (1,5)","  51,5 ","  24,0 ","  1,2 ","  1,1 ","  270,5 ","12,0%","-6,8%","-47,9%","-34,3%","-21,5%","-39,5%","51,6%","  33,7 ","9,9%","-109,5%","-204,9%","0,8%","37,7%","570,8%","188,9%","  33,7 ","9,9%","-109,5%","-204,9%","0,8%","37,7%","570,8%","188,9%",Chính thức
